ID,VERB,DEFINITION,EXAMPLE,ARG0,FLAG0,ARG1,FLAG1,"NOM, ACC, DAT, ABL, INS, LOC, GEN",ARG2,FLAG2,"NOM, ACC, DAT, ABL, INS, LOC, GEN",ARG3,FLAG3,"NOM, ACC, DAT, ABL, INS, LOC, GEN",ARG4,FLAG4,"NOM, ACC, DAT, ABL, INS, LOC, GEN",,,,,,,,,,,,,,,
TUR10-0069860,bağlamak,"Büyü, muska vb.nin aracılığıyla birinin birtakım isteklerini veya yetkinliğini engellemek, yok etmek",Çocuğun kısmetini bağladılar.,büyü yapan kişi,pag,büyü yapılan kişi,dir,acc,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0903410,iniminiminletmek,birini büyük sıkıntıya sokmak,,büyük sıkıntıya sokan şey,pag,büyük sıkıntıya soktuğu kişi,dir,acc,büyük sıkıntıya soktuğu konu,loc,,,,,,,,,,,,,,,,,,,,,,
TUR10-1242450,buyurmak,"İçeri geçmek, girmek",Salona buyurmaz mısınız?,buyuran kişi,pag,buyurulan yer,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0145790,çakılmak,Hızla düşüp saplanmak,Uçak dağa çakıldı.,çakılan şey,pag,çakıldığı şey,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0149230,çamurlamak,"Çamur sürmek, çamurla sıvamak",Taşların üzerini bir kat çamurladık.,çamurlayan kişi,pag,çamurlanan şey,dir,acc,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0152290,çarpmak,"Çekiciliğiyle etkilemek, şaşırtmak","Güzel halk türkülerinde beni çarpan şey bunların hepsinin arkasında bir vaka, bir macera, nihayet bir insan bulunmasıdır.",çarpan kişi,pag,çarpılan kişi,dir,acc,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0166160,çıvmak,Hızla giden bir şey bir yere çarpıp yön değiştirmek; sekmek; çavmak; sapmak; inhiraf etmek,"Kurşun da taşa değmiş sonra taştan çıvmış, Dursun Hacı'ya değmiş.","çarpan şey, kişi",pag,"çarpılan yer, şey",dir,abl,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0156290,çekilmek,Kendini geriye veya bir yana çekmek,Yana çekil bakayım.,çekilen kişi,pag,çekildiği yön,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0158350,çelmelemek,Çelme takmak,"Hademelerden biri odaya lamba getirirken Mebrure bahçeye fırladı, birbirini çelmeleyen adımlarla, istediği hâlde koşmaya muvaffak olamayarak sokağa yürüdü.",çelme takan kişi,pag,çelme takılan kişi,dir,acc,,,,,,,,,,,,,,,,,,,,,,,,
TUR10-0158880,çemkirmek,"Birine karşı gelmek, sert cevap vermek",Büsbüyük babasına çemkiriyor.,çemkiren kişi,pag,çemkirilen kişi,dir,dat,,,,,,,,,,,,,,,,,,,,,,,,
